2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:42		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:43		 wafer_20022020_090716.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:45		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:46		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
